id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_klbi,jenis_usaha,jumlah_umkm,satuan,tahun
122,32,JAWA BARAT,3278,KOTA TASIKMALAYA,38,"PENGUMPULAN, PENGOLAHAN, DAN DAUR ULANG SAMPAH",6.0,USAHA,2024
123,32,JAWA BARAT,3278,KOTA TASIKMALAYA,39,AKTIVITAS REMEDIASI DAN PENGELOLAAN LIMBAH DAN SAMPAH LAINNYA,0.0,USAHA,2024
124,32,JAWA BARAT,3278,KOTA TASIKMALAYA,41,KONSTRUKSI GEDUNG,0.0,USAHA,2024
125,32,JAWA BARAT,3278,KOTA TASIKMALAYA,42,KONSTRUKSI BANGUNAN SIPIL,0.0,USAHA,2024
126,32,JAWA BARAT,3278,KOTA TASIKMALAYA,43,KONSTUKSI KHUSUS,0.0,USAHA,2024
127,32,JAWA BARAT,3278,KOTA TASIKMALAYA,45,PERDAGANGAN BESAR DAN ECERAN KENDARAAN BERMOTOR,203.0,USAHA,2024
128,32,JAWA BARAT,3278,KOTA TASIKMALAYA,46,PERDAGANGAN BESAR (BUKAN MOBIL/MOTOR),611.0,USAHA,2024
129,32,JAWA BARAT,3278,KOTA TASIKMALAYA,47,PERDAGANGAN ECERAN (BUKAN MOBIL/MOTOR),15426.0,USAHA,2024
130,32,JAWA BARAT,3278,KOTA TASIKMALAYA,49,ANGKUTAN DARAT DAN REL,1.0,USAHA,2024
131,32,JAWA BARAT,3278,KOTA TASIKMALAYA,50,ANGKUTAN PERAIRAN,0.0,USAHA,2024
132,32,JAWA BARAT,3278,KOTA TASIKMALAYA,51,ANGKUTAN UDARA,0.0,USAHA,2024
133,32,JAWA BARAT,3278,KOTA TASIKMALAYA,52,PERGUDANGAN DAN JASA PENUNJANG ANGKUTAN,13.0,USAHA,2024
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,53,AKTIVITAS POS DAN KURIR,0.0,USAHA,2024
135,32,JAWA BARAT,3278,KOTA TASIKMALAYA,55,PENYEDIAAN AKOMODASI,58.0,USAHA,2024
136,32,JAWA BARAT,3278,KOTA TASIKMALAYA,56,PENYEDIAAN MAKANAN DAN MINUMAN,2689.0,USAHA,2024
137,32,JAWA BARAT,3278,KOTA TASIKMALAYA,58,AKTIVITAS PENERBITAN,17.0,USAHA,2024
138,32,JAWA BARAT,3278,KOTA TASIKMALAYA,59,"AKTIVITAS PRODUKSI GAMBAR BERGERAK, VIDEO DAN PROGRAM TELEVISI, PEREKAMAN SUARA DAN PENERBITAN MUSIK",0.0,USAHA,2024
139,32,JAWA BARAT,3278,KOTA TASIKMALAYA,60,AKTIVITAS PENYIARAN DAN PEMROGRAMAN,0.0,USAHA,2024
140,32,JAWA BARAT,3278,KOTA TASIKMALAYA,61,TELEKOMUNIKASI,68.0,USAHA,2024
141,32,JAWA BARAT,3278,KOTA TASIKMALAYA,62,AKTIVITAS PEMROGRAMAN DAN KONSULTASI KOMPUTER,39.0,USAHA,2024
142,32,JAWA BARAT,3278,KOTA TASIKMALAYA,63,AKTIVITAS LAYANAN INFORMASI LAINNYA,37.0,USAHA,2024
143,32,JAWA BARAT,3278,KOTA TASIKMALAYA,64,"AKTIVITAS JASA KEUANGAN, BUKAN ASURANSI DAN DANA PENSIUN",0.0,USAHA,2024
144,32,JAWA BARAT,3278,KOTA TASIKMALAYA,65,"ASURANSI, PENJAMINAN, REASURANSI DAN DANA PENSIUN, BUKAN JAMINAN SOSIAL WAJIB",0.0,USAHA,2024
145,32,JAWA BARAT,3278,KOTA TASIKMALAYA,66,AKTIVITAS PENUNJANG JASA KEUANGAN DAN ASURANSI,4.0,USAHA,2024
146,32,JAWA BARAT,3278,KOTA TASIKMALAYA,68,REAL ESTAT,2.0,USAHA,2024
147,32,JAWA BARAT,3278,KOTA TASIKMALAYA,70,AKTIVITAS KANTOR PUSAT DAN KONSULTASI MANAJEMEN,1.0,USAHA,2024
148,32,JAWA BARAT,3278,KOTA TASIKMALAYA,71,JASA ARSITEKTUR DAN TEKNIK SIPIL,5.0,USAHA,2024
149,32,JAWA BARAT,3278,KOTA TASIKMALAYA,72,PENELITIAN DAN PENGEMBANGAN ILMU PENGETAHUAN,0.0,USAHA,2024
150,32,JAWA BARAT,3278,KOTA TASIKMALAYA,73,PERIKLANAN DAN RISET PASAR,12.0,USAHA,2024
